,id,age.cat,age.reps,methylation,meth_adjust,kay.code,darting.date,sex,reproductive.status,mass,glucose.green,glucose.red,pcv,wbc,rbc,total.solids,first.seen,den.grad,disappeared,mom,birthdate,number.littermates,litrank,mortality.source,death.date,weaned,clan,park,mom.absrank,mom.strank,mom.strank.quart,mom.strank.quart.order,hum.pres,lit.size,age.mon,rank_year,samp_year,dna_extrct_mth,absrank,strank,strank.quart,strank.quart.order,prim.prey.3.6,prim.prey.6.9,prim.prey.birth.3,prim.prey.gest,prim.prey.peri.concpt,num.transects.3.6,num.transects.6.9,num.transects.birth.3,num.transects.gest,num.transects.peri.concpt,samp_year_cnt
46,bora,subadult,1,81.2972558,81.32755427,636,6/1/12,f,bado,33,58,71,44.06,NA,NA,6.8,4/23/11,12/6/11,NA,art,12/23/10,0,NA,NA,NA,4/11/12,talek,NA,12,0.185185185,Q2,2,hi,single,17.3,2010,2012,old,NA,NA,NA,NA,-0.826956849,0.036728206,-0.331828636,0.421772626,0.859424454,15,13,9,21,15,5.74375
54,bulm,subadult,1,72.74056891,72.72147438,571,5/7/15,m,bado,34.4,48,48,41.07,NA,NA,NA,4/27/14,10/19/14,NA,alfe,3/16/14,1,2,NA,NA,NA,talek,NA,21,0.05,Q2,2,hi,twin,13.7,2014,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
55,buu,subadult,1,75.89228768,75.91355749,575,5/28/15,m,bado,34.2,54,55,37.62,NA,NA,NA,4/27/14,10/19/14,5/25/16,alfe,3/16/14,1,1,NA,NA,NA,talek,NA,21,0.05,Q2,2,hi,twin,14.4,2014,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
57,caha,subadult,1,77.46423585,77.4812517,567,7/9/15,m,bado,33,57,63,43.05,NA,NA,NA,5/9/14,11/23/14,NA,ffl,3/31/14,0,NA,NA,NA,NA,talek,NA,28,-0.3,Q2,2,hi,single,15.3,2014,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
79,cous,subadult,1,77.13718164,77.09504693,728,4/16/04,m,bado,28.6,80,77,36.8,NA,NA,6.8,4/17/03,10/28/03,7/6/07,ali,3/3/03,NA,NA,NA,NA,2/14/04,talek,tk,7,0.076923077,Q2,2,med,NA,13.5,2003,2004,old,NA,NA,NA,NA,-0.467173348,-0.314756313,-1.283109136,-0.704576446,-0.719119833,12,12,12,9,12,-2.25625
80,cr,adult,1,75.08357206,75.0711795,108,12/6/01,f,lactating,69.5,NA,NA,38.5,25325,7595000,7.8,9/9/93,4/2/94,3/3/02,ot,8/15/93,1,1,NA,NA,8/1/94,talek,tk,8,0.222222222,Q2,2,low,twin,99.7,1993,2001,old,16,-0.764705882,Q2,2,-0.390264467,-0.0424209,0.09929356,1.623897238,-0.497969879,14,12,12,12,10,-5.25625
81,csac,subadult,1,79.4284565,79.37795905,724,5/21/04,m,bado,27.8,58,60,34.3,NA,NA,7.4,7/8/03,12/15/03,1/29/05,csn,5/1/03,NA,NA,NA,NA,4/26/04,talek,NA,6,0.230769231,Q2,2,med,NA,12.7,2003,2004,old,NA,NA,NA,NA,0.47003641,-0.551087808,-1.152790625,-1.028430736,-0.392391917,14,14,14,12,12,-2.25625
84,ctz,cub,1,80.10757421,80.11625151,758,5/5/05,f,bado,21.4,64,68,25.5,NA,NA,6.6,7/22/04,4/29/05,5/28/06,ali,6/26/04,1,1,NA,NA,8/2/05,talek,tk,7,0.2,Q2,2,med,twin,10.3,2004,2005,old,NA,NA,NA,NA,-1.201676618,-1.081773641,-0.78013324,-1.224731728,-1.153475769,12,12,12,10,12,-1.25625
99,dra,adult,1,77.72330089,77.72835064,774,6/10/12,f,lacating,51,54,56,36.85,NA,NA,6.7,4/9/08,7/10/08,6/12/12,ali,11/15/07,1,1,car,6/12/12,12/3/08,talek,tk,10,-0.058823529,Q2,2,med,twin,54.8,2007,2012,old,26,-0.219512195,Q1 (lowest),1,0.29466468,-0.302363229,-0.729032317,0.850181905,-0.34786723,13,15,14,20,16,5.74375
100,dra,subadult,1,77.30325921,77.33052285,774,7/3/09,f,bado,38,55,52,38.14,NA,NA,6.6,4/9/08,7/10/08,6/12/12,ali,11/15/07,1,1,car,6/12/12,12/3/08,talek,tk,10,-0.058823529,Q2,2,med,twin,19.6,2007,2009,old,NA,NA,NA,NA,0.29466468,-0.302363229,-0.729032317,0.850181905,-0.34786723,13,15,14,20,16,2.74375
111,ffl,cub,1,72.39787814,72.35822194,731,5/3/04,f,bado,15.8,69,NA,31.29,NA,NA,NA,8/6/03,4/29/04,NA,mp,6/28/03,1,1,NA,NA,6/23/04,talek,NA,9,-0.230769231,Q2,2,med,twin,10.2,2003,2004,old,NA,NA,NA,NA,-0.28088034,-1.026577553,-0.242792531,-1.110729126,-0.821622709,12,12,12,12,9,-2.25625
113,frr,cub,1,77.21087036,77.21430775,318,4/18/01,m,bado,19.78,71,68,31.12,22575,7740000,7,7/21/00,4/12/01,12/9/01,jj,6/25/00,0,NA,NA,NA,NA,talek,tk,12,0.083333333,Q2,2,med,single,9.8,2000,2001,old,NA,NA,NA,NA,-0.646736829,-0.231962182,-0.748892501,1.505144528,-0.286685826,10,12,12,12,12,-5.25625
114,fxtr,subadult,1,76.96308791,76.97464442,664,5/8/13,f,bado,31,NA,NA,41.27,NA,NA,NA,1/3/12,6/5/12,5/9/16,dra,10/16/11,1,1,NA,NA,6/12/12,talek,NA,19,-0.090909091,Q2,2,hi,twin,18.7,2011,2013,old,NA,NA,NA,NA,-0.230272108,-0.63577884,0.060242637,-0.036218915,-0.376284322,18,16,18,13,14,6.74375
118,gel,cub,1,74.88010249,74.90196134,908,9/13/09,f,bado,25.2,79,74,36.5,NA,NA,5.4,1/25/09,7/30/09,NA,guci,1/5/09,1,2,NA,NA,1/27/10,talek,NA,11,0.047619048,Q2,2,hi,twin,8.2,2009,2009,old,NA,NA,NA,NA,-0.017443972,-0.48620265,-1.066432297,-0.769384127,0.475679313,3,16,7,9,16,2.74375
119,gel,subadult,1,73.92495098,73.93085398,908,7/29/10,f,NA,41,NA,NA,30.5,NA,NA,5.9,1/25/09,7/30/09,NA,guci,1/5/09,1,2,NA,NA,1/27/10,talek,NA,11,0.047619048,Q2,2,hi,twin,18.7,2009,2010,old,NA,NA,NA,NA,-0.017443972,-0.48620265,-1.066432297,-0.769384127,0.475679313,3,16,7,9,16,3.74375
132,ham,cub,1,69.38018488,69.37080105,230,3/10/98,f,bado,16.6,NA,NA,NA,NA,NA,NA,7/20/97,11/23/97,10/1/12,ger,6/1/97,1,2,NA,NA,10/20/98,talek,tk,13,0.04,Q2,2,low,twin,9.3,1997,1998,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.25625
137,hml,adult,1,76.86572917,76.92528464,230,12/9/01,f,lactating,51,NA,NA,23.2,14200,6625000,6.5,7/20/97,11/23/97,10/1/12,ger,6/1/97,1,2,NA,NA,10/20/98,talek,tk,13,0.04,Q2,2,low,twin,54.3,1997,2001,old,8,-0.6,Q1 (lowest),1,-0.561199146,-0.256510307,0.84483148,0.08610882,0.04434355,14,14,14,14,14,-5.25625
140,hon,subadult,1,76.59828236,76.59394371,508,7/12/09,f,bado,30.8,64,61,29.87,NA,NA,7.2,5/18/08,12/3/08,4/6/14,mp,4/18/08,1,2,poison (april 2014 incident),4/3/14,4/15/09,talek,NA,10,-0.125,Q2,2,med,twin,14.8,2008,2009,old,NA,NA,NA,NA,0.885954016,-0.770731538,-0.046986605,0.077199676,-1.001153481,15,9,17,11,17,2.74375
141,hoo,subadult,1,77.11971609,77.11723758,301,4/29/00,f,bado,24.9,79,75,32,7875,7705000,6.8,5/1/99,11/28/99,12/16/01,nav,4/16/99,0,NA,NA,NA,6/3/00,talek,tk,12,-2.50E-16,Q2,2,low,single,12.5,1999,2000,old,NA,NA,NA,NA,0.164745666,-0.906366129,0.220909294,-0.467807477,-0.049556405,14,14,14,14,14,-6.25625
161,jup,cub,1,77.48362917,77.44797062,349,10/20/01,m,bado,17.8,64,63,33.6,16800,7330000,7.2,2/14/01,9/18/01,12/17/02,oke,1/5/01,1,2,NA,NA,5/25/02,talek,tk,9,0.058823529,Q2,2,med,twin,9.5,2001,2001,old,NA,NA,NA,NA,1.028915434,0.396023492,0.335161139,-0.414783011,-0.918359798,12,12,12,10,12,-5.25625
162,jut,adult,1,79.85193687,79.87971047,267,4/23/02,f,lactating,51.8,62,58,42.69,14400,8660000,6.5,1/29/99,6/20/99,11/24/03,ger,11/30/98,1,1,NA,NA,12/24/99,talek,tk,13,0,Q2,2,low,twin,40.7,1998,2002,old,8,-0.166666667,Q1 (lowest),1,-0.423677624,0.601186308,-0.455229555,2.831308515,1.541068578,12,12,12,12,12,-4.25625
163,kdy,subadult,1,74.66350442,74.67101148,338,10/24/01,m,bado,24.8,67,63,38.7,15300,7850000,7,5/20/01,7/30/01,3/3/04,nav,10/3/00,1,2,NA,NA,7/19/02,talek,tk,16,-0.25,Q2,2,med,twin,12.7,2000,2001,old,NA,NA,NA,NA,0.217268804,0.488190544,-0.342762895,-0.793134669,1.823592129,12,12,10,12,12,-5.25625
173,ldv,adult,2,75.14444532,75.12229534,237,5/9/03,m,bado,46.18,53,58.5,39.51,NA,NA,6.75,12/19/97,10/25/98,4/24/07,hg,11/24/97,1,2,lions,4/23/07,3/13/99,talek,tk,11,0.2,Q2,2,low,twin,65.5,1997,2001,old,NA,NA,NA,NA,-0.005626266,1.163561538,-0.188121237,-0.509232841,0.685169565,10,12,12,12,12,-5.25625
174,ldv,subadult,1,70.88801995,70.86892542,237,3/7/99,m,bado,28.4,67,67,NA,NA,NA,NA,12/19/97,10/25/98,4/24/07,hg,11/24/97,1,2,lions,4/23/07,3/13/99,talek,tk,11,0.2,Q2,2,low,twin,15.4,1997,1999,old,NA,NA,NA,NA,-0.005626266,1.163561538,-0.188121237,-0.509232841,0.685169565,10,12,12,12,12,-7.25625
179,lyco,subadult,1,78.00799988,77.99949196,540,3/1/15,f,bado,47.2,57,60,38.54,NA,NA,NA,6/10/13,NA,NA,bab,3/26/13,1,NA,NA,NA,NA,talek,tk,26,-0.25,Q2,2,hi,NA,23.2,2013,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,-0.11307158,NA,NA,NA,NA,18,8.74375
180,maa,subadult,1,79.17263364,79.12584006,701,7/30/14,f,bado,49,79,79,64.7,NA,NA,NA,12/29/12,7/29/13,NA,art,10/12/12,NA,NA,NA,NA,9/16/13,talek,tk,20,0.073170732,Q2,2,hi,NA,21.6,2012,2014,old,NA,NA,NA,NA,NA,NA,0.284815487,0.513881595,-0.796157151,NA,NA,13,18,16,7.74375
181,mac,cub,1,75.86999431,75.87975628,356,6/26/02,f,bado,24.8,73,71,37,NA,NA,6.4,8/30/01,5/30/02,7/11/05,ger,8/10/01,1,1,poison?,NA,10/5/02,talek,tk,10,-0.058823529,Q2,2,med,twin,10.5,2001,2002,old,NA,NA,NA,NA,-0.481535144,-0.088764785,-0.160004572,1.256592344,0.49233603,8,12,12,12,12,-4.25625
188,mge,subadult,1,76.90117701,76.90768499,733,6/15/04,m,bado,32.2,70,72,35.4,NA,NA,7.3,10/14/02,8/8/03,7/31/06,puc,10/7/02,NA,NA,NA,NA,NA,talek,tk,9,-0.333333333,Q2,2,med,NA,20.3,2002,2004,old,NA,NA,NA,NA,-1.506693804,-1.090625844,-0.198274478,-0.771041141,-0.563443591,9,12,12,12,12,-2.25625
199,mrs,cub,1,76.21877499,76.26131461,337,8/16/01,m,bado,16.4,71,69,31.3,19000,4965000,6.3,2/14/01,9/18/01,12/31/03,oke,1/5/01,1,1,NA,NA,5/16/02,talek,tk,9,0.058823529,Q2,2,med,twin,7.3,2001,2001,old,NA,NA,NA,NA,1.028915434,0.396023492,0.335161139,-0.414783011,-0.918359798,12,12,12,10,12,-5.25625
200,msl,subadult,1,76.21226503,76.20522008,745,6/15/07,f,bado,36,67,57,53.45,NA,NA,7,12/19/05,9/2/06,2/1/11,mp,12/5/05,1,1,NA,NA,11/13/06,talek,NA,11,-0.25,Q2,2,med,twin,18.3,2005,2007,old,NA,NA,NA,NA,-0.1651653,-0.159061689,-1.221877288,-0.917410761,-0.476858229,18,15,20,15,13,0.74375
207,nod,adult,1,75.89490433,75.85638263,207,5/10/99,m,ok,42.9,58,58,NA,NA,NA,NA,11/27/96,5/25/97,2/15/01,ua,10/13/96,1,2,NA,NA,10/21/97,talek,tk,17,-0.185185185,Q2,2,low,twin,30.8,1996,1999,old,NA,NA,NA,NA,0.099912416,-0.009615679,0.589773161,3.04009235,3.414308633,12,12,12,12,10,-7.25625
210,nxn,cub,1,76.97914915,76.99433443,347,9/3/01,m,bado,27.2,NA,NA,37.1,21900,5055000,6.8,5/20/01,7/30/01,12/13/03,nav,10/3/00,1,1,NA,NA,7/11/02,talek,tk,16,-0.25,Q2,2,med,twin,11,2000,2001,old,NA,NA,NA,NA,0.217268804,0.488190544,-0.342762895,-0.793134669,1.823592129,12,12,10,12,12,-5.25625
215,oke,adult,2,76.185624,76.1720478,244,8/10/02,f,pregnant,46.1,65.5,66.5,NA,NA,NA,7.1,12/19/97,10/31/98,2/1/03,hg,11/24/97,1,1,humans,1/31/03,3/13/99,talek,tk,11,0.2,Q2,2,low,twin,56.5,1997,2002,old,10,-0.2,Q1 (lowest),1,-0.005626266,1.163561538,-0.188121237,-0.509232841,0.685169565,10,12,12,12,12,-4.25625
216,oke,subadult,1,76.04700079,76.06818773,244,3/4/99,f,bado,30.2,66,67,NA,NA,NA,NA,12/19/97,10/31/98,2/1/03,hg,11/24/97,1,1,humans,1/31/03,3/13/99,talek,tk,11,0.2,Q2,2,low,twin,15.3,1997,1999,old,NA,NA,NA,NA,-0.005626266,1.163561538,-0.188121237,-0.509232841,0.685169565,10,12,12,12,12,-7.25625
218,ome,adult,1,74.56078637,74.46294524,224,4/11/00,m,NA,50.4,59,57,38,12475,7985000,6.7,3/22/97,7/5/97,6/20/00,sx,2/2/97,1,1,NA,NA,7/29/98,talek,tk,15,-0.12,Q2,2,low,twin,38.2,1997,2000,old,NA,NA,NA,NA,1.241470012,-0.490758931,0.004790325,-0.008262105,1.411018054,12,12,12,12,12,-6.25625
219,ome,subadult,1,73.33272152,73.29453245,224,3/9/98,m,bado,29.55,NA,NA,NA,NA,NA,NA,3/22/97,7/5/97,6/20/00,sx,2/2/97,1,1,NA,NA,7/29/98,talek,tk,15,-0.12,Q2,2,low,twin,13.1,1997,1998,old,NA,NA,NA,NA,1.241470012,-0.490758931,0.004790325,-0.008262105,1.411018054,12,12,12,12,12,-8.25625
226,pbut,cub,1,74.37419531,74.40308659,541,6/8/14,f,bado,26.6,93,94,23.97,NA,NA,NA,8/26/13,NA,NA,parc,7/4/13,1,1,NA,NA,NA,talek,tk,17,0.2,Q2,2,hi,twin,11.1,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
229,pene,adult,1,76.08452265,76.08165816,828,10/26/13,m,ok,51.2,62,49,43.22,NA,NA,NA,6/9/10,11/12/10,11/15/16,guci,4/3/10,NA,NA,unknown,11/26/16,7/20/11,talek,NA,14,0.037037037,Q2,2,hi,NA,42.8,2010,2013,old,NA,NA,NA,NA,1.305482587,0.08909754,1.558392271,-0.166599052,-0.572028207,15,21,20,18,15,6.74375
230,pene,subadult,1,77.04792881,77.0851065,828,4/27/11,m,bado,25.8,58,59,37.2,NA,NA,6.1,6/9/10,11/12/10,11/15/16,guci,4/3/10,NA,NA,unknown,11/26/16,7/20/11,talek,NA,14,0.037037037,Q2,2,hi,NA,12.8,2010,2011,old,NA,NA,NA,NA,1.305482587,0.08909754,1.558392271,-0.166599052,-0.572028207,15,21,20,18,15,4.74375
234,pnc,subadult,1,68.92894288,68.95080173,757,6/29/05,m,bado,19.4,58,61,37.7,NA,NA,6.8,8/30/04,4/29/05,8/16/07,ali,6/26/04,1,2,NA,NA,8/3/05,talek,tk,7,0.2,Q2,2,med,twin,12.1,2004,2005,old,NA,NA,NA,NA,-1.201676618,-1.081773641,-0.78013324,-1.224731728,-1.153475769,12,12,12,10,12,-1.25625
236,psy,cub,1,65.60224381,65.58535292,203,6/8/97,f,bado,23,NA,NA,NA,NA,NA,NA,11/26/96,6/11/97,12/19/97,bail,10/13/96,1,1,NA,NA,8/7/97,talek,tk,19,-0.333333333,Q2,2,low,twin,7.8,1996,1997,old,NA,NA,NA,NA,0.099912416,-0.009615679,0.589773161,3.04009235,3.414308633,12,12,12,12,10,-9.25625
237,puc,cub,1,68.82898999,68.84525993,231,3/14/98,f,bado,16.4,NA,NA,NA,NA,NA,NA,7/20/97,11/23/97,12/23/06,ger,6/1/97,1,1,NA,NA,8/11/98,talek,tk,13,0.04,Q2,2,low,twin,9.4,1997,1998,old,NA,NA,NA,NA,-0.561199146,-0.256510307,0.84483148,0.08610882,0.04434355,14,14,14,14,14,-8.25625
238,que,subadult,1,73.99354005,73.98367712,790,6/24/09,m,bado,29.6,73,73,23.3,NA,NA,7,5/18/08,11/17/08,3/5/11,mp,4/18/08,1,1,NA,NA,4/23/09,talek,tk,10,-0.125,Q2,2,med,twin,14.2,2008,2009,old,NA,NA,NA,NA,0.885954016,-0.770731538,-0.046986605,0.077199676,-1.001153481,15,9,17,11,17,2.74375
241,rav,adult,1,77.926727,77.92250003,605,9/3/09,m,bado,49.2,69,69,37.84,NA,NA,7,8/1/07,NA,10/18/09,guci,12/1/06,1,NA,NA,NA,12/9/07,talek,tk,7,0.25,Q2,2,med,NA,33.1,2006,2009,old,NA,NA,NA,NA,-0.012967568,0.223199993,-0.345886969,-0.932356382,-0.192511309,22,19,12,17,18,2.74375
242,reb,adult,1,74.92058675,74.91714936,671,9/14/13,f,bado,52.8,62,67,41.58,NA,NA,NA,11/1/11,7/3/12,2/17/14,ali,6/16/11,NA,NA,NA,NA,11/22/12,talek,NA,18,-0.03030303,Q2,2,hi,NA,27,2011,2013,old,NA,NA,NA,NA,-0.173166872,-0.185590891,0.712464063,-0.638148573,-0.47055036,16,19,11,15,9,6.74375
261,sks,subadult,1,73.03384462,73.02070726,223,7/31/97,m,NA,40,69,66.5,NA,NA,NA,NA,11/25/95,5/30/96,4/21/98,ot,10/16/95,1,2,NA,NA,7/15/97,talek,tk,15,-0.037037037,Q2,2,low,twin,21.5,1995,1997,old,NA,NA,NA,NA,1.047790937,3.781730666,-0.79329898,0.433608445,0.65386958,12,12,14,14,14,-9.25625
272,suk,cub,1,76.81516802,76.78913611,824,7/6/10,f,bado,24.8,72,76,28.48,NA,NA,7.1,8/13/09,5/22/10,7/7/12,mp,8/4/09,0,NA,NA,NA,7/30/10,talek,NA,13,-0.142857143,Q2,2,hi,single,11,2009,2010,old,NA,NA,NA,NA,-0.339695314,0.059292644,-0.937898971,-0.101757896,-1.277119863,18,18,11,11,4,3.74375
273,sun,subadult,2,69.17965334,69.17965334,80,12/18/93,m,bado,36.5,NA,NA,NA,NA,NA,NA,7/6/92,2/1/93,4/20/97,23s,6/5/92,1,2,NA,NA,5/16/93,talek,tk,11,-0.333333333,Q2,2,low,twin,18.4,1992,1993,old,NA,NA,NA,NA,-1.209062684,-0.090743513,4.483150248,-0.18942903,-0.177135878,10,10,12,12,12,-13.25625
277,tang,cub,1,80.88985861,80.88422265,381,6/22/01,f,bado,17.8,80,76,33.3,24325,13910000,6.5,9/11/00,5/19/01,11/30/01,puc,7/6/00,1,2,NA,NA,8/18/01,talek,tk,14,-0.083333333,Q2,2,med,twin,11.5,2000,2001,old,NA,NA,NA,NA,-0.495076266,-0.026799366,-0.877760549,1.570872772,-0.346906266,10,12,12,12,12,-5.25625
278,tast,subadult,1,74.22500822,74.22998346,579,8/2/15,f,bado,51.8,71,71,32.82,NA,NA,NA,4/10/14,NA,NA,gel,9/10/13,NA,NA,NA,NA,NA,talek,NA,22,-0.05,Q2,2,hi,NA,22.7,2013,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74375
285,tian,subadult,1,75.72407474,75.71982078,529,8/1/14,f,bado,33.2,83,87,57.55,NA,NA,NA,8/8/13,NA,NA,parc,7/4/13,1,2,NA,NA,NA,talek,tk,17,0.2,Q2,2,hi,twin,12.9,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
287,tini,cub,1,78.69386374,78.69856037,504,5/21/04,m,bado,19.8,78,70,35.4,NA,NA,7.6,7/27/03,4/29/04,8/19/07,mp,6/28/03,1,2,NA,NA,6/28/04,talek,NA,9,-0.230769231,Q2,2,med,twin,10.8,2003,2004,old,NA,NA,NA,NA,-0.28088034,-1.026577553,-0.242792531,-1.110729126,-0.821622709,12,12,12,12,9,-2.25625
289,tnks,subadult,1,77.08458472,77.07729844,555,8/8/14,f,bado,51.6,57,63,39.145,NA,NA,NA,5/14/13,NA,NA,alfe,3/15/13,0,NA,NA,NA,11/27/13,talek,tk,21,0,Q2,2,hi,single,16.8,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,-0.610310729,0.024880207,NA,NA,NA,5,18,7.74375
296,vdg,subadult,1,73.20665024,73.21393652,925,7/14/09,f,bado,39.2,59,57,35.51,NA,NA,6.6,4/13/08,7/10/08,8/3/10,ali,11/15/07,1,2,NA,NA,11/25/08,talek,tk,10,-0.058823529,Q2,2,med,twin,19.9,2007,2009,old,NA,NA,NA,NA,0.29466468,-0.302363229,-0.729032317,0.850181905,-0.34786723,13,15,14,20,16,2.74375
300,whh,adult,1,76.77065617,76.75188851,248,7/24/01,f,bado,55,55,56,41.24,21475,5950000,8,5/29/98,10/2/98,10/22/04,nav,2/28/98,0,NA,NA,10/15/04,1/3/99,talek,tk,14,-0.083333333,Q2,2,low,single,40.8,1998,2001,old,12,-0.294117647,Q1 (lowest),1,2.093329669,2.581476124,0.123036522,-0.30542005,-0.58906931,12,12,10,12,12,-5.25625
301,whh,cub,1,73.88443073,73.87174982,248,2/22/99,f,bado,30,70,68,NA,NA,NA,NA,5/29/98,10/2/98,10/22/04,nav,2/28/98,0,NA,NA,10/15/04,1/3/99,talek,tk,14,-0.083333333,Q2,2,low,single,11.8,1998,1999,old,NA,NA,NA,NA,2.093329669,2.581476124,0.123036522,-0.30542005,-0.58906931,12,12,10,12,12,-7.25625
302,whi,subadult,1,75.6086805,75.61196814,309,3/27/01,m,bado,28.9,71,69,41.3,NA,NA,6.4,4/17/00,9/9/00,11/7/03,hg,3/24/00,1,1,NA,NA,6/22/01,talek,tk,10,0.25,Q2,2,med,twin,12.1,2000,2001,old,NA,NA,NA,NA,-0.921826769,-0.575011072,2.372057316,-0.248529216,-1.185507918,12,10,12,12,12,-5.25625
316,zim,cub,1,76.58965334,76.58469632,283,11/7/99,f,bado,32.3,65,65,41,NA,NA,NA,1/7/99,8/4/99,12/12/02,cr,11/29/98,1,1,NA,NA,2/23/00,talek,tk,16,-0.25,Q2,2,low,twin,11.3,1998,1999,old,NA,NA,NA,NA,-0.423677624,0.601186308,-0.455229555,2.831308515,1.541068578,12,12,12,12,12,-7.25625
318,ziti,adult,1,77.38547777,77.38633712,848,6/5/13,m,ok,47.2,77,78,41.69,NA,NA,NA,6/9/10,11/12/10,NA,guci,4/3/10,1,2,NA,NA,7/14/11,talek,NA,14,0.037037037,Q2,2,hi,twin,38.1,2010,2013,old,NA,NA,NA,NA,1.305482587,0.08909754,1.558392271,-0.166599052,-0.572028207,15,21,20,18,15,6.74375
319,ziti,subadult,1,76.95339418,76.9382089,848,4/27/11,m,bado,25.4,57,55,39.8,NA,NA,6,6/9/10,11/12/10,NA,guci,4/3/10,1,2,NA,NA,7/14/11,talek,NA,14,0.037037037,Q2,2,hi,twin,12.8,2010,2011,old,NA,NA,NA,NA,1.305482587,0.08909754,1.558392271,-0.166599052,-0.572028207,15,21,20,18,15,4.74375
7,ali,adult,2,76.31059415,76.27785803,253,1/30/04,f,"pregnant, see comments",58.33,62,63,39.525,NA,NA,7.4,9/7/97,8/18/98,6/11/17,bb,8/4/97,1,1,NA,NA,6/21/98,talek,tk,7,0.52,Q3,3,low,twin,77.8,1997,2001,old,5,0.529411765,Q3,3,-0.322734717,-0.288824566,-0.36072632,0.753964593,-0.194433238,12,10,12,12,12,-5.25625
8,ali,subadult,1,76.63070309,76.59988573,253,4/26/99,f,bado,35,56,58,NA,NA,NA,NA,9/7/97,8/18/98,6/11/17,bb,8/4/97,1,1,NA,NA,6/21/98,talek,tk,7,0.52,Q3,3,low,twin,20.7,1997,1999,old,NA,NA,NA,NA,-0.322734717,-0.288824566,-0.36072632,0.753964593,-0.194433238,12,10,12,12,12,-7.25625
10,alum,cub,1,74.25417095,74.32648831,730,4/28/04,m,bado,19.6,63,63,33.8,NA,NA,6.1,9/23/03,3/3/04,4/26/08,ath,7/26/03,NA,NA,NA,NA,3/16/04,talek,tk,4,0.538461538,Q3,3,med,NA,9.1,2003,2004,old,NA,NA,NA,NA,-0.525441206,-1.0250154,-0.144384203,-1.074827144,-1.212158666,12,12,12,12,10,-2.25625
14,aqua,adult,1,74.34208327,74.37182542,737,10/18/08,f,NA,44.6,61,64,35.4,NA,NA,7.2,6/7/06,12/1/06,NA,mos,4/17/06,1,2,NA,NA,11/8/06,talek,NA,4,0.625,Q3,3,med,twin,30.1,2006,2008,old,NA,NA,NA,NA,-0.10476369,-0.95112081,-0.434402396,-0.571804867,-1.256204755,15,11,18,21,17,1.74375
40,blue,subadult,1,78.94405899,78.94514365,433,7/7/09,f,bado,41.6,68,62,33.32,NA,NA,6.9,5/11/08,10/7/08,6/30/12,mos,2/20/08,1,NA,NA,NA,1/22/09,talek,NA,4,0.625,Q3,3,med,NA,16.5,2008,2009,old,NA,NA,NA,NA,0.200372574,-0.030083894,0.340237759,-0.687953697,0.180493641,17,13,16,14,17,2.74375
44,bnt,subadult,1,78.96434121,78.84948423,690,5/7/13,f,bado,36.8,NA,NA,38.37,NA,NA,NA,2/4/12,7/21/12,NA,mono,9/25/11,0,NA,NA,NA,9/20/12,talek,NA,12,0.333333333,Q3,3,hi,single,19.4,2011,2013,old,NA,NA,NA,NA,-0.101699841,-0.900083182,0.14283534,0.090843147,-0.73859538,18,13,16,14,15,6.74375
45,boa,cub,1,72.99070767,72.99661067,705,7/9/02,m,bado,22.1,72,79,33.1,NA,NA,6.6,8/18/01,1/23/02,7/29/04,ali,7/19/01,0,NA,NA,NA,11/8/02,talek,tk,5,0.529411765,Q3,3,med,single,11.7,2001,2002,old,NA,NA,NA,NA,-0.488921211,0.100255779,0.719422228,0.69099804,0.262345202,8,12,12,12,12,-4.25625
48,brgr,adult,1,76.31810685,76.31082057,659,6/3/15,f,lactating,58.8,0,0,38.96,NA,NA,NA,3/8/12,9/19/12,NA,cen,10/30/11,1,1,NA,NA,12/11/12,talek,NA,7,0.636363636,Q3,3,hi,twin,43.1,2011,2015,old,NA,NA,NA,NA,-0.408289986,-0.506120106,0.290382747,-0.050239807,-0.32192119,16,16,18,14,13,8.74375
49,brgr,subadult,1,76.19953208,76.19867273,659,5/28/13,f,bado,39.8,61,NA,21.52,NA,NA,NA,3/8/12,9/19/12,NA,cen,10/30/11,1,1,NA,NA,12/11/12,talek,NA,7,0.636363636,Q3,3,hi,twin,18.9,2011,2013,old,NA,NA,NA,NA,-0.408289986,-0.506120106,0.290382747,-0.050239807,-0.32192119,16,16,18,14,13,6.74375
